,formatted_time,signal
0,2022-12-01,1
1,2023-01-18,1
2,2023-02-28,-1
3,2023-03-01,0
4,2023-03-27,-1
5,2023-04-04,1
6,2023-04-11,-1
7,2023-04-12,1
8,2023-04-13,1
9,2023-04-16,0
10,2023-04-17,0
11,2023-04-20,-1
12,2023-04-24,1
13,2023-04-25,0
14,2023-04-26,1
15,2023-04-27,0
16,2023-04-28,1
17,2023-04-29,1
18,2023-04-30,1
19,2023-05-01,0
20,2023-05-02,1
21,2023-05-03,1
22,2023-05-04,1
23,2023-05-05,1
24,2023-05-06,-1
25,2023-05-07,1
26,2023-05-08,1
27,2023-05-09,1
28,2023-05-10,1
29,2023-05-11,1
30,2023-05-12,1
31,2023-05-13,-1
32,2023-05-14,-1
33,2023-05-15,0
34,2023-05-16,0
35,2023-05-17,1
36,2023-05-18,1
37,2023-05-19,0
38,2023-05-20,0
39,2023-05-21,-1
40,2023-05-22,1
41,2023-05-23,0
42,2023-05-24,1
43,2023-05-25,1
44,2023-05-26,1
45,2023-05-27,-1
46,2023-05-28,-1
47,2023-05-29,1
48,2023-05-30,1
49,2023-05-31,-1
50,2023-06-01,1
51,2023-06-02,-1
52,2023-06-03,0
53,2023-06-04,0
54,2023-06-05,0
55,2023-06-06,0
56,2023-06-07,1
57,2023-06-08,1
58,2023-06-09,0
59,2023-06-10,1
60,2023-06-11,0
61,2023-06-12,1
62,2023-06-13,0
63,2023-06-14,1
64,2023-06-15,0
65,2023-06-16,1
66,2023-06-17,1
67,2023-06-18,0
68,2023-06-19,1
69,2023-06-20,0
70,2023-06-21,0
71,2023-06-22,0
72,2023-06-23,0
73,2023-06-24,0
74,2023-06-25,0
75,2023-06-26,1
76,2023-06-27,0
77,2023-06-28,0
78,2023-06-29,0
79,2023-06-30,1
80,2023-07-01,-1
81,2023-07-02,1
82,2023-07-03,1
83,2023-07-04,0
84,2023-07-05,0
85,2023-07-06,0
86,2023-07-07,0
87,2023-07-08,0
88,2023-07-09,1
89,2023-07-10,1
90,2023-07-11,1
91,2023-07-12,0
92,2023-07-13,-1
93,2023-07-14,1
94,2023-07-15,-1
95,2023-07-16,0
96,2023-07-17,1
97,2023-07-18,1
98,2023-07-20,1
99,2023-07-21,-1
100,2023-07-23,0
101,2023-07-24,1
102,2023-07-26,0
103,2023-07-27,1
104,2023-07-28,1
105,2023-07-29,0
106,2023-07-30,1
107,2023-07-31,-1
108,2023-08-01,1
109,2023-08-02,1
110,2023-08-03,1
111,2023-08-04,1
112,2023-08-05,0
113,2023-08-06,-1
114,2023-08-07,0
115,2023-08-08,1
116,2023-08-09,1
117,2023-08-10,-1
118,2023-08-11,0
119,2023-08-14,-1
120,2023-08-15,0
121,2023-08-16,1
122,2023-08-17,1
123,2023-08-18,1
124,2023-08-21,0
125,2023-08-22,0
126,2023-08-23,0
127,2023-08-25,1
128,2023-08-28,-1
129,2023-08-29,-1
130,2023-08-30,-1
131,2023-09-02,1
132,2023-09-04,-1
133,2023-09-07,0
134,2023-09-08,1
135,2023-09-12,0
136,2023-09-13,1
137,2023-09-14,0
138,2023-09-16,1
139,2023-09-18,1
140,2023-09-19,1
141,2023-09-21,-1
142,2023-09-22,1
143,2023-09-25,0
144,2023-09-26,1
145,2023-09-27,1
146,2023-09-28,1
147,2023-09-29,1
148,2023-10-02,1
149,2023-10-03,0
150,2023-10-04,0
151,2023-10-05,1
152,2023-10-06,0
153,2023-10-07,1
154,2023-10-09,0
155,2023-10-10,1
156,2023-10-11,1
157,2023-10-12,1
158,2023-10-13,1
159,2023-10-16,1
160,2023-10-17,0
161,2023-10-18,-1
162,2023-10-19,-1
163,2023-10-20,0
164,2023-10-21,1
165,2023-10-22,1
166,2023-10-23,-1
167,2023-10-24,1
168,2023-10-25,0
169,2023-10-26,1
170,2023-10-27,0
171,2023-10-28,1
172,2023-10-29,-1
173,2023-10-30,1
174,2023-10-31,0
175,2023-11-01,1
176,2023-11-02,1
177,2023-11-03,0
178,2023-11-04,1
179,2023-11-05,0
180,2023-11-06,-1
181,2023-11-07,1
182,2023-11-08,1
183,2023-11-09,1
184,2023-11-10,1
185,2023-11-11,1
186,2023-11-12,1
187,2023-11-13,-1
188,2023-11-14,1
189,2023-11-15,1
190,2023-11-16,1
191,2023-11-17,1
192,2023-11-18,1
193,2023-11-19,0
194,2023-11-20,1
195,2023-11-21,1
